vd_salePhone,vd_serviceCode,vd_dealerName,vd_longitude,vd_address,vd_latitude,vc_name,vd_url,vd_dealerCode,vd_dealerType,vd_city,vd_province,vd_postCode,vd_fax,vp_name,vd_id
023-68961788,,重庆商社汽车贸易有限公司,106.502260,重庆市九龙坡区谢陈路1号(汽车研究所旁),29.529540,重庆,,S755002,1,118,17,400039,,C 重庆,125
023-63677777,,重庆龙华实业集团众友汽车销售服务有限公司,106.535677,重庆市渝中区长江一路77号1F,29.55078,重庆,,S755012,1,118,17,400015,,C 重庆,126
023-85729000,,重庆百事达华博汽车销售服务有限公司,108.405167,重庆市万州区沙龙路三段三峡国际车界内,30.775407,重庆,,S755009,1,118,17,404000,,C 重庆,521
023-63253666/63253377,,重庆龙华实业集团众华汽车销售服务有限公司,106.508661,重庆市渝中区经纬大道777号,29.552247,重庆,,S755011,1,118,17,400042,,C 重庆,625
023-67115777,,重庆龙华实业集团协众汽车销售服务有限公司,106.544046,重庆市渝北区黄龙路168号,29.603163,重庆,,S755010,1,118,17,401147,,C 重庆,714
023-60390777,,重庆盛驰汽车有限公司,106.583796,重庆市北部新区经开园金渝大道99号附23-1（汽博中心英菲尼迪4s店旁）,29.648789,重庆,,S755013,1,118,17,,,C 重庆,868
023-42717616,,重庆商社众志渝涵汽车销售有限公司,106.287488,重庆市合川区高阳路北部汽车工业园9号楼 ,29.946505,重庆,,S255002,1,118,17,,,C 重庆,918
023-85698000,,重庆百事达华驰汽车销售服务有限公司,107.371438,重庆市涪陵区桥南大道电信局旁 ,29.722273,重庆,,S255001,1,118,17,,,C 重庆,928
023-61691555-1,,重庆万家凯迪汽车销售服务有限公司,106.482054,重庆市大渡口区金桥路9号,29.461319,重庆,,S755016,1,118,17,,,C 重庆,1023
13308327287,,重庆商社汽车贸易有限公司铜梁分公司,106.079,铜梁县白龙二路,29.823336,重庆,,S755002M1,2,118,17,,,C 重庆,1092
023-62855111,,重庆长久博鑫汽车销售服务有限公司,106.33,重庆市巴南区巴南大道66号,29.28,重庆,,S755014,1,118,17,40054,,C 重庆,1127
0591-83433311,,福建省福京汽车贸易有限公司,119.356488,福州市仓山区黄山华夏汽车城内,26.018299,福州,,S935001,1,15,3,350019,,F 福建,245
0591-87956577,,福州永力通汽车贸易有限公司,119.326922,福州市五四北利嘉路（山姆小镇对面）,26.139169,福州,,S735011,1,15,3,350013,,F 福建,246
0591-88001888,,福州盈众汽车有限公司,119.207467,福州市闽侯县工贸路,26.080385,福州,,S735023,1,15,3,,,F 福建,443
0591-22260038,,福建永通达汽车贸易有限公司,119.395839,福州闽侯县祥谦镇枕峰村（原一汽大众福州中转站内）	,25.942528,福州,,S735029,1,15,3,350000,,F 福建,724
0595-85677661           ,,晋江市金阳汽车销售有限公司,118.588729,晋江市和平中路36号,24.802563,晋江,,S735017,1,16,3,362200,,F 福建,86
0597-2568888,,龙岩市众邦汽车贸易有限公司,116.972270,龙岩市新罗区龙门镇物流大道330号,25.103175,龙岩,,S735015,1,17,3,364015,,F 福建,410
597-2821555,,龙岩盈众汽车有限公司,117.0518,福建省龙岩市新罗区东城南环东路54号,25.094113,龙岩,,S735031,1,17,3,364000,,F 福建,725
0594-2888886,,莆田市奇奇贸易发展有限公司,119.057942,福建省莆田市荔城区西天尾镇龙山村,25.478001,莆田,,S735012,1,18,3,351131,,F 福建,422
0594-2705555,,莆田华迪汽车有限公司,118.974006,莆田市城厢区华亭镇山牌村,25.411774,莆田,,S235003,1,18,3,351100,,F 福建,1131
0595-22416888,,泉州盈众汽车销售服务有限公司,118.522714,泉州市鲤城区南环路1234-1236号,24.913687,泉州,,S735019,1,19,3,362000,,F 福建,205
0595-22498855,,泉州大众汽车销售服务有限公司,118.558029,泉州市清濛科技工业区1-2A,24.879418,泉州,,S935010,1,19,3,362005,,F 福建,247
0595-27661111,,惠安盈众汽车销售服务有限公司,118.785087,福建省泉州市惠安县城南工业区华辉玻璃旁,25.002700,泉州,,S235002,1,19,3,362000,,F 福建,700
0595-22476888,,安溪华迪汽车销售服务有限公司,118.234488,福建省安溪县参内乡城工业园参洋片区参山村村部,25.092299,泉州,,S235001,1,19,3,,,F 福建,865
0595-26892988,,南安盈众汽车销售服务有限公司,118.406894,福建省南安市美林街道柳美北路（火车站对面）,24.991958,泉州,,S735033,1,19,3,,,F 福建,969
13559590206,,泉州盈众汽车销售服务有限公司德化分公司,118.215547,福建省泉州市德化县龙浔镇丁溪村小溪,25.49078,泉州,,S735019M1,2,19,3,,,F 福建,1100
13400691313,,泉州盈众汽车销售服务有限公司永春分公司,118.306002,福建省永春县德风工业区,25.313939,泉州,,S735019M2,2,19,3,,,F 福建,1101
0592-6025588,,厦门市盈众汽车销售有限公司,118.121437,厦门市湖里区嘉禾路799号,24.529480,厦门,,S735007,1,20,3,361006,,F 福建,299
0592-2195588,,厦门致远汽车有限公司,118.155306,福建省厦门市湖里区金尚路1968号（车管所路口）,24.522023,厦门,,S735022,1,20,3,361000,,F 福建,461
0592-7153888,,厦门君达汽车有限公司,118.136698,福建省厦门市同安区圳南二路89号（同安高速路口旁）,24.671232,厦门,,S735026,1,20,3,361100,,F 福建,552
0592-5799188,,厦门明至汽车有限公司,118.067714,厦门市集美区后溪镇汽车物流中心,24.638283,厦门,,S735032,1,20,3,361000,,F 福建,776
0596-2988999,,漳州盈众汽车销售服务有限公司,117.708018,漳州市龙文区石仓九龙门斜对面（市外贸仓库东侧）,24.517402,漳州,,S735020,1,21,3,363005,,F 福建,85
0596-2219888,,漳州致远汽车有限公司,117.622953,漳州市芗城区金峰经济开发区彰华路与漳龙高速引路叉口,24.601606,漳州,,S735030,1,21,3,363000,,F 福建,683
18906068880,,漳州盈众汽车销售服务有限公司龙海分公司,117.855811,龙海市二环路海澄段珠浦村珠浦社,24.412983,漳州,,S735020M1,2,21,3,,,F 福建,1076
0599-8883688,,南平盈众汽车有限公司,118.129767,南平市西芹水溪口交通枢纽中心南平盈众汽车,26.589824,南平,,S735024,1,23,3,353000,,F 福建,550
0598-8968111,,三明盈众汽车有限公司,117.656110,三明市梅列区陈大镇德安工业区8号,26.299425,三明,,S735021,1,211,3,365000,,F 福建,460
0591-85970333,,福州致远汽车销售服务有限公司,119.404579,福建省福清市龙江街道倪铺村口,25.697206,福清,,S735027,1,234,3,350300,,F 福建,549
