id,image,fullname,name,code,address,servicetel,selltel,lon,lat,openweb,onlineser,city,published,subdomain,lang,website
284,/images/dealers/SZSBJ_4S.png,深圳市深标嘉汽车有限公司 4S店,DS深圳深标嘉经销商,CCN0AKT,深圳市南山区南头街道南头关口二路嘉进隆（安乐）汽车城A区A06-1,0755-28193933,0755-28083333,113.913888,22.553953,0,1,4403,1,,zh,
286,/images/dealers/CQBC_4S.png,重庆博翅汽车销售服务有限公司 4S店,DS重庆博翅经销商,CCN0A5T,重庆市九龙坡区经纬大道1099号半山七号商铺附48号,023-68033002,023-68033033,106.489463,29.548548,0,1,5001,1,,zh,
288,/images/dealers/BJZQLR-CF.png,北京中汽雷日汽车有限公司 城市展厅,DS北京中汽雷日经销商,CCN0AMT,北京市丰台区南四环中路260号新发地汽车交易市场,,010-87867970,116.356157,39.835991,0,0,1101,1,,zh,
290,/images/dealers/dealers_new140211/ZJGHQ_4S.png,张家港海奇汽车销售服务有限公司 4S店,DS张家港海奇经销商,CCN0AOT,张家港攀华国际广场33号,0512-58905099,0512-58905999,120.576089,31.844881,1,0,3214,1,zjghq,zh,/web/cn/dealers/zjghq
292,/images/dealers/dealers_new140211/YCZS_4S.png,宜昌致顺汽车销售服务有限公司 4S店,DS宜昌致顺经销商,CCN0ANT,宜昌市高新区发展大道49号,0717-6300068,0717-6300098,111.338947,30.726608,0,1,4205,1,,zh,
294,/images/dealers/dealers_new140211/DZHY_4S.png,山东省德州鸿宇汽贸有限公司 4S店,DS德州鸿宇经销商,CCN0AST,山东德州经济开发区晶华路155号（三和电器北邻）,,0534-27311112737777,116.385276,37.466395,0,0,3714,1,,zh,
296,/images/dealers/dealers_new140211/DYGZ_4S.png,东营高卓汽车销售服务有限公司 4S店,DS东营高卓经销商,CCN0ATT,东营市北二路西首中凯汽配城对面,,0546-2089888,118.423957,37.486607,0,0,3705,1,,zh,
298,/images/dealers/about_us_pic/111111.jpg,云南华福汽车销售服务有限公司,DS云南华福经销商,CCN0AYT,云南省昆明市经开区国际汽车城博望路,0871-68308293,0871-65813333,102.813360,24.971614,0,0,5301,1,,zh,
300,/images/dealers/CSDAS-4S.png,湖南省快乐迪爱思汽车销售服务有限公司 4S店,DS快乐迪爱思经销商,CCN0ART,湖南省长沙市岳麓区南二环猴子石桥西南角（阳光100对面）,,0731-88727777,112.945644,28.144746,0,0,4301,1,,zh,
302,/images/dealers/BJZQLR-CF.png,北京中汽雷日汽车有限公司 4S店,DS北京中汽雷日经销商,CCN0A6T,北京市丰台区南四环中路260号新发地汽车交易市场,010-87883435,010-67507767,116.356157,39.835991,0,1,1101,1,,zh,
304,/images/dealers/GZZS_4S.png,广州市展陞汽车销售服务有限公司 4S店,DS广州展陞经销商,CCN0B8T,广州市天河区天源路1202号J栋15号B座,,020-38344556,113.376091,23.198746,0,0,4401,1,,zh,
306,/images/dealers/GLJS_4S.png,桂林市锦仕汽车销售服务有限责任公司 4S店,DS桂林锦仕经销商,CCN0B7T,广西省桂林市灵川县八里街八里七路29号,,0773-2665000,110.322718,25.358350,0,0,4503,1,,zh,
309,/images/dealers/NJBQ_4S.png,南京大道汽车销售服务有限公司板桥店  4S店,DS南京板桥经销商,CCN0B5T,南京市雨花台区板桥街道雨花经济开发区汽贸园内,,025-86705999,118.649631,31.943130,0,0,3201,1,,zh,
310,/images/dealers/HKYC-TS.png,海南创之翼汽车销售服务有限公司 卫星店,DS海口创亿经销商,CCN0BPT,海南省海口市南海大道172号,,40086885834/68602606,110.298828,20.001400,0,0,4601,1,,zh,
312,/images/dealers/ZQML-4S.png,肇庆美轮迪仕汽车有限公司 4S店,DS肇庆美轮经销商,CCN0BNT,广东省肇庆市114区肇庆大道南侧之三,,0758-2770833,112.500170,23.104432,0,0,4412,1,,zh,
313,/images/dealers/NCYD-4S.jpg,南昌易达汽车销售服务有限公司 4S店,DS南昌易达经销商,CCN0BMT,江西省南昌市望城新区新兴西大道138号,,0791-83688877,115.733026,28.630203,0,0,3601,1,,zh,
319,/images/dealers/CSTN_TS.png,长沙天诺汽车销售服务有限公司 卫星店,DS长沙天诺经销商,CCN0B6T,湖南省长沙市雨花区万家丽中路三段华银天际B区1栋,,0731-82907111,113.048702,28.115457,0,0,4301,1,,zh,
322,/images/dealers/YCWL_TS.png,运城市威龙汽车销售服务有限公司 卫星店,DS运城威龙经销商,CCN0BUT,运城市盐湖区南风大道18号,,0359-3361111,110.958934,35.116810,0,0,1408,1,,zh,
324,/images/dealers/DGYN_4S.png,东莞市永能汽车销售服务有限公司 4S店,DS东莞永能经销商,CCN0BKT,东莞市寮步镇香市路与金富路交界处（鼎峰花漫里侧）,,0769-38807668,113.864869,23.015366,0,0,4419,1,,zh,
326,/images/dealers/SJZXR_4S.png,河北奥吉通祥瑞汽车销售有限公司 4S店,DS石家庄祥瑞经销商,CCN0BET,河北省石家庄市西三环与石获南路交口西行100米路南（奥吉通汽车产业园内）,,0311-82191111,114.381645,38.069427,0,0,1301,1,,zh,
329,/images/dealers/KSBY_4S.png,昆山宝逸汽车销售服务有限公司 4S店,DS昆山宝逸经销商,CCN0BWT,江苏省苏州市昆山市长江南路1233号中大商务广场,,0512-36913400,120.986285,31.372481,0,0,3205,1,,zh,
330,/images/dealers/WZLF-TS.png,温州市力菲汽车销售服务有限公司 卫星店,DS温州力菲经销商,CCN0C3T,温州市龙湾区高一路178号力天汽车公园内,,0577-86565686,120.729728,27.974568,0,0,3303,1,,zh,
332,/images/CZPX-4S.png,郴州鹏洋永丰汽车销售有限公司 4S店,DS郴州鹏洋经销商,CCN0BXT,湖南省郴州市北湖区国庆南路樟树岭隧道口郴州鹏洋永丰店,,0735-7766666,113.040717,25.782491,0,0,4310,1,,zh,
334,/images/dealers/xalq-4s.png,陕西龙起汽车贸易有限公司 4S店,DS西安龙起经销商,CCN0BDT,陕西省西安市未央区凤城五路与明光路十字东北角（天朗经开中心）,,029-87575777,108.936471,34.336952,0,0,6101,1,,zh,
339,/images/dealers/whcy-4s.png,武汉市长源恒隆汽车销售服务有限公司 4S店,DS武汉长源经销商,CCN0C2T,武汉市洪山区青菱乡红霞村动力车产业园,027-88711229,027-88711230,114.266101,30.424758,0,0,4201,1,,zh,
342,/images/dealers/BJZQLR-CF.png,天津南环汽车销售服务有限公司,DS天津南环经销商,CCN0CXT ,天津市西青区大寺开发区高新技术产业园储源道25-1号,,022-60903616,117.282067,39.002363,0,0,1201,1,,zh,
344,/images/category/zhenzhou1.jpg,河南普润汽车销售有限公司,DS郑州普润经销商,CCN0DBT,郑州市金水区郑花路66号星锐车业广场A01,,0371—60276688,113.692612,34.830185,0,0,4101,1,,zh,
345,/images/headers/TJ.JPG,常熟市兴业谛艾仕汽车销售服务有限公司,DS常熟谛艾仕经销商,CCN0DIT,常熟市虞山镇青墩塘路188号1幢,,,120.811140,31.640951,0,0,3215,1,,zh,
347,/images/headers/FS_SLH.PNG,佛山市俊谛汽车销售服务有限公司,DS佛山俊谛经销商,CCN0DHT,广东省佛山市陈村镇南涌社区居民委员会芸香围105国道边18号之19A,0757-29291181,0757-29291183,113.250472,22.949320,0,0,4406,1,,zh,
351,/images/category/hebhd-ts.png,哈尔滨谛艾仕汽车销售服务有限公司,DS哈尔滨谛艾仕经销商,CCN0BLT,黑龙江省哈尔滨市道里区机场路161号2栋-1-2层,,0451-87762978,126.548474,45.705541,0,0,2301,1,,zh,
354,/images/headers/KMZY.jpg,青海深宁汽车贸易有限公司,DS青海深宁经销商,CCN0BQT,青海省西宁市经济技术开发区金源路16-2号,,0971-7666333,101.868025,36.569703,0,0,6301,1,,zh,
356,/images/banners/changsha.jpg,长沙天诺汽车销售有限公司,DS长沙津湘经销商,CCN0B6T,长沙市暮云镇芙蓉南路弘高车世界（长沙生态动物园对面),,0731-82907111,113.001990,28.035832,0,0,4301,1,,zh,
357,/images/banners/dazhou.jpg,达州骏翔汽车销售有限公司,DS达州骏翔经销商,CCN0E0T,达州市达川商贸物流园区中青路8号,,0818-3681888,107.519827,31.177724,0,0,5117,1,,zh,
358,/images/banners/dongrui.jpg,山西谛艾斯汽车销售有限公司,DS太原东瑞经销商,CCN0CJT,山西省太原市高新区平阳南路444号,,0351-3555588,112.559005,37.813310,0,0,1401,1,,zh,
359,/images/banners/bb.jpg,保定轩宇英杰汽车销售服务有限公司,DS保定轩宇经销商,CCN0E1T,河北省保定市高开区创业路368号,,0312-3229111,115.464500,38.911949,0,0,1306,1,,zh,
363,/images/banners/zhumadian.jpg,驻马店市驿驰汽车销售有限公司,驻马店驿驰,CCN095T,河南省驻马店开源大道与驿驰大道交叉口（城市展厅）,0558-2703333,,114.072492,33.018135,0,0,4117,1,,zh,
364,/images/banners/huaibei.jpg,淮北市汇轩汽车销售有限公司,淮北汇轩,CCN095T,安徽省淮北市车管所东50米,,,116.775802,33.934472,0,0,3406,1,,zh,
