category,name,brand,id,address,district,city,province,brand-info
4S店,奥之旅奥迪,奥迪,100041819,北京市房山区阎村镇澎湃汽车城奥迪城市展厅,房山区,北京市,北京,"进口Audi Sport,进口奥迪,一汽-大众奥迪"
特许店,合利通赢奥迪,奥迪,100017542,北京市朝阳区安贞华联北50米仟村商务大楼一层,西城区,北京市,北京,"进口Audi Sport,进口奥迪,一汽-大众奥迪"
4S店,北京正德永成,奥迪,100045049,北京市昌平区回龙观欧德宝国际汽车城,昌平区,北京市,北京,"进口奥迪,一汽-大众奥迪"
4S店,博瑞祥致标致,标致,100016730,北京市朝阳区花虎沟2号博瑞汽车园区内（北沙滩桥辅路向北1000米路东）,朝阳区,北京市,北京,东风标致
4S店,北京嘉瑞雅,标致,50001511,北京市朝阳区东南四环十八里店北桥西200米路南,朝阳区,北京市,北京,东风标致
4S店,标龙京津,标致,100007425,东四环朝阳公园桥东2500米东方基业汽车城5号店,朝阳区,北京市,北京,东风标致
4S店,金泰亚市4S店,标致,100030057,北京市昌平区北七家新亚运村汽车交易市场东风标致,昌平区,北京市,北京,东风标致
4S店,北京国服信奥兴,奥迪,100017922,北京市石景山区古城大街北京国际汽车贸易服务园区F区9号,石景山区,北京市,北京,"进口Audi Sport,进口奥迪,一汽-大众奥迪"
4S店,加达永通,别克,100008233,北京市石景山区黄庄43号,丰台区,北京市,北京,"进口别克,上汽通用别克"
4S店,北京首创森美,别克,100005808,北京市丰台区南四环中路142号公益西桥东南角,丰台区,北京市,北京,"进口别克,上汽通用别克"
4S店,北京怡合瑞狮,标致,100066098,北京市房山区阎村镇炒米店村北京周路南侧50米,房山区,北京市,北京,东风标致
4S店,北京上汽安吉,别克,50001352,北京市海淀区永丰路199号（百旺绿谷汽车园）,海淀区,北京市,北京,"进口别克,上汽通用别克"
4S店,北京达世行世纪,别克,100046725,北京市海淀区闵庄路（360路公共汽车闵庄路站）,海淀区,北京市,北京,"进口别克,上汽通用别克"
4S店,勤和祥通别克,别克,100043258,北京市通州区九棵树西路11号,通州,北京市,北京,上汽通用别克
4S店,北京运通博雅,别克,100003665,北京经济技术开发区东环北路乙1号,大兴区,北京市,北京,"进口别克,上汽通用别克"
4S店,新兴达智图别克,别克,100101546,北京昌平区西关环岛向西2公里,昌平区,北京市,北京,上汽通用别克
4S店,北京首创实利,别克,50000518,北京市昌平区回龙观欧德宝汽车城内,昌平区,北京市,北京,上汽通用别克
4S店,北京鑫毅宏达,标致,100080051,旧宫镇隆泰路南区23号,大兴区,北京市,北京,东风标致
4S店,北京腾远兴顺,奔腾,501021,北京市朝阳区平房西口甲130号,朝阳区,北京市,北京,一汽奔腾
4S店,北京博瑞祥和,奔腾,100003590,北京市朝阳区花虎沟2号博瑞汽车园内,朝阳区,北京市,北京,一汽奔腾
4S店,北方伟业 ,奔腾,100034176,北京市大兴区京良路1号（北方创业出租公司东侧）,丰台区,北京市,北京,一汽奔腾
4S店,北京勤和别克国贸店,别克,100029837,北京市朝阳区百子湾路18号,朝阳区,北京市,北京,上汽通用别克
4S店,北京联通鼎盛,别克,100015510,北京市朝阳区来广营西路甲8号（北五环广顺桥向北第一个大的十字路口左转过来广营西桥后700米路南）,朝阳区,北京市,北京,"进口别克,上汽通用别克"
4S店,北京联通昊普,别克,100015308,北京市朝阳区北苑路36号,朝阳区,北京市,北京,"进口别克,上汽通用别克"
4S店,宏和通达,别克,100049044,朝阳区王四营乡王四营村盛华东路809号,朝阳区,北京市,北京,上汽通用别克
4S店,勤和祥龙别克店,别克,100020456,北京市朝阳区朝阳体育中心西路5号,朝阳区,北京市,北京,"进口别克,上汽通用别克"
4S店,北汽威旺房山店,北汽威旺,100119252,北京市房山区阎村镇南梨园村东里106号,房山区,北京市,北京,北汽威旺
