category,name,brand,id,address,district,city,province,brand-info
4S店,聚百丰密云店,宝骏,100058726,北京市密云区 排山汽车城院内右手边第二家,怀柔区,北京市,北京,上汽通用五菱
4S店,中汽华世田石景山,宝骏,100124637,北京市石景山区古城大街（特钢公司厂内）北...,石景山区,北京市,北京,上汽通用五菱
4S店,中汽华世田顺义,宝骏,100123291,北京市南湖二街9号东马各庄公交站,顺义区,北京市,北京,上汽通用五菱
4S店,北京星德宝,宝马,100043585,北京市朝阳区高碑店乡白家楼8号（朝阳区黄...,朝阳区,北京市,北京,"华晨宝马,华晨宝马新能源,进口宝马,进口宝马新能源"
4S店,北京华德宝,宝马,100040221,北京市朝阳区建国路52号（东长安街四惠桥东...,朝阳区,北京市,北京,"华晨宝马,华晨宝马新能源,进口宝马,进口宝马新能源"
4S店,晨德宝宝马,宝马,100049308,北京市朝阳区金盏乡东苇路北北京金港展览展...,朝阳区,北京市,北京,"华晨宝马,华晨宝马新能源,进口宝马,进口宝马M,进口宝马新能源"
4S店,北京宝信行4S店,宝马,100108867,北京市朝阳区将台乡安家楼西十里67号,朝阳区,北京市,北京,"华晨宝马,华晨宝马新能源,进口宝马,进口宝马新能源"
4S店,北京盈之宝,宝马,100006544,北京市朝阳区利泽东二路2号,朝阳区,北京市,北京,"华晨宝马,华晨宝马新能源,进口宝马,进口宝马新能源"
4S店,北京京顺宝,宝马,100039613,北京市石景山区衙门口南路北重检测场院内,石景山区,北京市,北京,"华晨宝马,华晨宝马新能源,进口宝马,进口宝马新能源"
4S店,北京骏宝行,宝马,100115102,北京市石景山区时代花园南路30号,石景山区,北京市,北京,"华晨宝马,华晨宝马新能源,进口宝马,进口宝马M,进口宝马新能源"
4S店,北京宝泽行,宝马,100028861,北京市丰台区西三环南路59号,丰台区,北京市,北京,"华晨宝马,华晨宝马新能源,进口宝马,进口宝马M,进口宝马新能源"
4S店,北京博瑞宝,宝马,100129462,北京市丰台区西罗园南里44号,丰台区,北京市,北京,"华晨宝马,华晨宝马新能源,进口宝马,进口宝马新能源"
4S店,运通嘉宝,宝马,100048797,北京市顺义区赵全营镇牛板路板桥段43号,顺义区,北京市,北京,"华晨宝马,华晨宝马新能源,进口宝马,进口宝马新能源"
4S店,北京美宝行4S店,宝马,100130083,北京市顺义区仁和镇西环路99号院-4,顺义区,北京市,北京,"华晨宝马,华晨宝马新能源,进口宝马,进口宝马新能源"
4S店,运通兴宝,宝马,100043819,北京市大兴区西红门镇中鼎路19号,大兴区,北京市,北京,"华晨宝马,华晨宝马新能源,进口宝马,进口宝马新能源"
4S店,北京燕宝宝马,宝马,100006344,北京市经济技术开发区宏达北路26号,大兴区,北京市,北京,"华晨宝马,华晨宝马新能源,进口宝马,进口宝马新能源"
4S店,北京宝诚百旺,宝马,100030405,北京市海淀区西北旺百旺绿谷汽车园,海淀区,北京市,北京,"华晨宝马,华晨宝马新能源,进口宝马,进口宝马新能源"
4S店,北京京宝行,宝马,100023255,北京市海淀区闵庄路19号,海淀区,北京市,北京,"华晨宝马,华晨宝马新能源,进口宝马,进口宝马新能源"
4S店,北京汇宝行,宝马,100108346,北京市房山区阎村镇阎村桥东京周公路南侧,房山区,北京市,北京,"华晨宝马,华晨宝马新能源,进口宝马,进口宝马新能源"
4S店,博得宝宝马,宝马,100085865,北京市西城区德外教场口街4号,西城区,北京市,北京,"华晨宝马,华晨宝马新能源,进口宝马,进口宝马新能源"
4S店,北京正通宝泽行,宝马,100059043,北京市通州区梨园镇云景东路488号,通州,北京市,北京,"华晨宝马,进口宝马"
4S店,北京宝晋行4S店,宝马,100130937,北京市昌平区北七家镇瑶光路8号1幢,昌平区,北京市,北京,华晨宝马
4S店,四元桥奔驰中心,奔驰,100103771,北京市朝阳区京顺路109号院2号楼,朝阳区,北京市,北京,"北京奔驰,进口smart,进口奔驰,进口梅赛德斯-AMG"
4S店,北京中升之星奔驰,奔驰,100029753,朝阳区王四营马房寺路333号,朝阳区,北京市,北京,"北京奔驰,进口奔驰,进口梅赛德斯-AMG"
4S店,鹏龙瑞星,奔驰,100107515,北京市朝阳区来广营西路甲9号,朝阳区,北京市,北京,"北京奔驰,进口奔驰"
4S店,博瑞祥驰,奔驰,50001478,朝阳区德胜门外双泉堡博瑞汽车园区内,朝阳区,北京市,北京,"北京奔驰,进口奔驰,进口梅赛德斯-AMG"
4S店,德奥达奔驰,奔驰,100030702,朝阳区北四环东路太阳宫十字口甲1号,朝阳区,北京市,北京,福建奔驰
4S店,利星行北京平治,奔驰,100030352,北京朝阳区来广营东路临乙2号,朝阳区,北京市,北京,"北京奔驰,进口smart,进口奔驰,进口梅赛德斯-AMG"
4S店,波士通达奔驰,奔驰,100015844,北京朝阳区兴隆庄甲三号（京通快速高碑店桥...,朝阳区,北京市,北京,"北京奔驰,进口smart,进口奔驰,进口梅赛德斯-AMG"
4S店,波士瑞达奔驰,奔驰,100040155,北京市朝阳区平房乡平房村姚家园路78号,朝阳区,北京市,北京,"北京奔驰,进口smart,进口奔驰,进口梅赛德斯-AMG,进口梅赛德斯-迈巴赫"
4S店,北京金冠4S店,奔驰,100108869,北京市海淀区闵庄路6号,海淀区,北京市,北京,"北京奔驰,进口奔驰"
4S店,北京福瑞奔驰店,奔驰,100076561,北京市海淀区阜石路59号东侧,海淀区,北京市,北京,福建奔驰
4S店,百得利之星,奔驰,100017376,北京市海淀区西四环北路四季青桥南1000米路...,海淀区,北京市,北京,"北京奔驰,进口奔驰,进口梅赛德斯-AMG,进口梅赛德斯-迈巴赫"
