坑ID,Name,DealersID,AddressArea,Province,City,Area,Address,BaiduMapLng,BaiduMapLat,Telphone,BusinessHours,Sites,SiteID,Brand,CanTestDrive,cars,ShopSaleTel,ShopID
972,张家口庞大华庆汽车销售服务有限公司,张家口庞大华庆汽车销售服务有限公司,,河北省,张家口市,宣化县,张家口市宣化县沙岭子镇屈家庄村,114.9365005,40.69837952,,8:30-17:30,0,0,长城%2c哈弗,1,,0313-5971099,13070
973,张家口市鑫嘉荣汽车销售服务有限公司,张家口市鑫嘉荣汽车销售服务有限公司,,河北省,张家口市,桥东区,河北省张家口市高新区马路东天桥北%2f张家口市玉宝墩南(嘉华汽贸)(邮寄地址),114.9191971,40.76383972,,8:30-17:30,0,0,长城%2c哈弗,1,"125,126,522,44,411",0313-5983991,13070
870,张掖仕通汽车销售有限公司,张掖仕通汽车销售有限公司,,甘肃省,张掖市,甘州区,甘肃省张掖市西三环中段绿洲现代物流园区,100.4598999,38.93931961,,9:00-17:30,0,0,长城%2c哈弗,1,"125,126,522,44,411",0936-8588111,62070
855,漳州市万国汽车销售服务有限公司,漳州市万国汽车销售服务有限公司,,福建省,漳州市,龙文区,福建省漳州市龙文区龙文北路121号,117.7258987,24.53424072,,8:30-17:30,0,0,长城%2c哈弗,1,"125,126,522",0596-2618199/2930199,35060
907,肇庆市高要区长城农机汽车销售有限公司,肇庆市高要区长城农机汽车销售有限公司,,广东省,肇庆市,高要区,肇庆市过境公路鼎湖区苏村321国道旁,112.5397034,23.12785912,,8:30-18:00,0,0,长城%2c哈弗,1,"125,126,522,44,411",0758-2627900,44120
1417,浙江台州元通汽车有限公司临海分公司,浙江台州元通汽车有限公司临海分公司,浙江省%3a台州市%3a1051,浙江省,台州市,,临海市江南街道办事处高家村,121.1331024,28.83745003,,8:00-17:00,,0,长城%2c哈弗,1,"125,126,522,44,411","0576-89179996	",33101
1129,镇江中贸汽车销售有限公司,镇江中贸汽车销售有限公司,,江苏省,镇江市,润州区,镇江市丁卯新区纬三路140号,119.5215988,32.18041992,,8:30-17:30,0,0,长城%2c哈弗,1,"125,126,522,44,411",0511-88896837/84511669,32110
1011,郑州市超达汽车销售有限公司,郑州市超达汽车销售有限公司,,河南省,郑州市,惠济区,郑州市郑花路北段省汽贸中心,113.6591034,34.87783051,,8:30-18:00,0,0,长城%2c哈弗,1,"125,126,522",0371-63381222,41010
851,中控投资（福建）有限公司,中控投资（福建）有限公司,,福建省,泉州市,晋江市,晋江市经济开发区五里园区长安路23号,118.5350037,24.75248909,,8:30-18:00,0,0,长城%2c哈弗,1,"125,126,522,44,411",0595-82102222,35050
908,中山市中盈汽车销售服务有限公司,中山市中盈汽车销售服务有限公司,,广东省,中山市,市辖区,中山市西区彩虹大道89号前商铺4卡,113.3439026,22.5683403,,8:30-18:00,0,0,长城%2c哈弗,1,"125,126,522,44,411",0760-88668199,44200
1414,中石化易捷五洲河北汽车销售服务有限公司徐水分公司,中石化易捷五洲河北汽车销售服务有限公司徐水分公司,河北省%3a保定市%3a141,河北省,保定市,,保定市徐水区华龙路93号,115.6544037,39.03543091,,"8:00-17:30	",,0,长城%2c哈弗,1,"125,126,522,44,411","0312-8678287	",13061
1404,重庆格邦汽车销售服务有限公司,重庆格邦汽车销售服务有限公司,,重庆市,重庆市,九龙坡区,重庆市九龙坡区水碾村8号,106.5080032,29.51321983,,8:30-18:00,0,0,长城%2c哈弗,1,"125,126,522,44,411",023-88672999,50011
1405,重庆锦隆汽车销售有限公司,重庆锦隆汽车销售有限公司,,重庆市,重庆市,渝北区,重庆市渝北区龙溪街道红黄路150号,106.5475006,29.59359932,,8:30-18:30,0,0,长城%2c哈弗,1,"44,411",023-61889688,50010
1422,重庆名典汽车销售服务有限公司,重庆名典汽车销售服务有限公司,重庆%3a重庆市%3a2323,重庆,重庆市,,重庆市垫江县桂东大道南段236号,107.363138,30.329046,,8:30-18:00,,0,长城%2c哈弗,0,,2385659999,
1407,重庆瑞原汽车销售有限公司,重庆瑞原汽车销售有限公司,,重庆市,重庆市,渝北区,重庆市渝北区五红路127号红地苑A幢,106.5565033,29.58983994,,9:00-17:30,0,0,长城%2c哈弗,1,"125,126,522,44,411",023-67758775,50010
1420,重庆市彭水永鑫汽车销售有限公司,重庆市彭水永鑫汽车销售有限公司,重庆%3a重庆市%3a2323,重庆,重庆市,,重庆市彭水县汉葭镇麻油村关口路,108.233136,29.335856,,8:30-18:00,,0,长城%2c哈弗,0,,2378440888,
1408,重庆市万州区林海汽车维修有限公司,重庆市万州区林海汽车维修有限公司,,重庆市,重庆市,万州区,重庆市万州区沙龙路三段万全小区,108.3964005,30.78293991,,8:00-18:00,0,0,长城%2c哈弗,1,"125,126,522,44,411",023-58801555,50010
1423,重庆云臣汽车销售有限公司,重庆云臣汽车销售有限公司,重庆%3a重庆市%3a2323,重庆,重庆市,,重庆市秀山县中和镇渝秀大道留金国际底楼,108.585478,28.272034,,8:30-17:30,,0,长城%2c哈弗,0,,2376056666,
1410,重庆卓庆彬涛汽车销售服务有限公司,重庆卓庆彬涛汽车销售服务有限公司,,重庆市,重庆市,涪陵区,重庆市涪陵区迎宾大道7号,107.3591995,29.73607063,,08:30-18:00,0,0,长城%2c哈弗,1,"125,126,522,44,411",023-72216999,50011
1411,重庆卓庆汽车销售服务有限公司,重庆卓庆汽车销售服务有限公司,,重庆市,重庆市,巴南区,重庆市巴南区渝南大道66号,106.5683975,29.46928978,,9:00-17:30,0,0,长城%2c哈弗,1,"125,126,522,44,411",023-62866286,50011
1403,舟山市众恒汽车销售服务有限公司,舟山市众恒汽车销售服务有限公司,,浙江省,舟山市,定海区,浙江省舟山市定海区双桥街道石礁社区舟山汽车城2期2号,122.0651016,30.04711914,,8:00-17:00,0,0,长城%2c哈弗,1,"125,126,522,44,411",0580-8807777,33090
1013,周口宏腾汽车销售服务有限公司,周口宏腾汽车销售服务有限公司,,河南省,周口市,川汇区,周口市川汇区太清路东段风机厂东,114.6540985,33.64302063,,08:30-17:30,0,0,长城%2c哈弗,1,"125,126,522",0394-8352222,41160
1077,株洲佳旺汽车有限公司,株洲佳旺汽车有限公司,,湖南省,株洲市,天元区,湖南省株洲市天元区中达路九号企业会所,113.0861969,27.82518959,,8:30-17:30,0,0,长城%2c哈弗,1,"125,126,522,44,411",0731-28818333,43020
1333,资阳市东创汽车销售服务有限公司,资阳市东创汽车销售服务有限公司,,四川省,资阳市,雁江区,资阳市雁江区城东新区迎宾大道旁,104.6963196,30.10474586,,8:30-18:00,0,0,长城%2c哈弗,1,"44,411",028-26929255,51200
1258,淄博福骋汽车贸易有限公司,淄博福骋汽车贸易有限公司,,山东省,淄博市,张店区,山东省淄博市张店区中心路176-1号,118.0783005,36.73971939,,9:00-17:00,0,0,长城%2c哈弗,1,"125,126,522",0533-6215000,37030
1259,淄博惠骋汽车贸易有限公司,淄博惠骋汽车贸易有限公司,,山东省,淄博市,张店区,淄博市张店区山泉路86号,118.0458984,36.77593994,,9:00-17:30,0,0,长城%2c哈弗,1,"125,126,522,44,411",0533-2975000,37030
1260,淄博骏骋汽车贸易有限公司,淄博骏骋汽车贸易有限公司,,山东省,淄博市,张店区,山东省淄博市张店区山泉路66号,118.0482025,36.78382111,,9:00-17:00,0,0,长城%2c哈弗,1,"125,126,522,44,411",0533-8172000,37030
936,遵义市龙伟汽车贸易有限公司,遵义市龙伟汽车贸易有限公司,,贵州省,遵义市,遵义县,贵州省遵义县龙坑镇黔北国际汽博城,106.8646011,27.59057999,,9:00-17:30,0,0,长城%2c哈弗,1,"125,126,522,44,411",0851-27482333,52030
938,遵义市正德伟业汽车销售服务有限公司,遵义市正德伟业汽车销售服务有限公司,,贵州省,遵义市,汇川区,遵义市汇川区汽车商贸城,106.9315338,27.78836632,,9:00---17:30,0,0,长城%2c哈弗,1,"125,126,522,44,411",0851--28798666,52030
