31834,北京市窦店耀辉汽车销售有限公司,010-69395631,北京市房山区窦店镇窦店村107国道西侧,北京,北京市,格尔发,格尔发K系
42975,上海沪仑汽车销售服务有限公司,021-66526999,闸北区万荣路1558号,上海,上海市,瑞风,瑞风M6
42976,上海华星江瑞汽车销售服务有限公司,021-54299500,上海市闵行区虹梅南路608号,上海,上海市,瑞风,瑞风M6
42977,上海宾悦汽车销售服务有限公司,021-54352555,上海市浦东新区沪南公路3097号,上海,上海市,瑞风,瑞风M6
42978,上海新香国汽车销售服务有限公司,021-67296729 ,上海市金山区山阳镇亭卫公路2088号,上海,上海市,瑞风,瑞风M6
42979,上海永达通豪汽车销售服务有限公司,021-64656789,上海市闵行区吴宝路799号,上海,上海市,瑞风,瑞风M6
42507,上海二茆汽车销售服务有限公司,021-62850074,上海市普陀区金沙江路1146号,上海,上海市,瑞风/瑞风/瑞风/和悦/和悦/iEV/iEV/iEV,瑞风S7/瑞风S3/瑞风S5/和悦/和悦A30/iEV4/iEV6E/iEV7
42511,上海鑫香国汽车销售服务有限公司,021-37566655,上海市奉贤区沪杭公路1866号,上海,上海市,瑞风/瑞风/瑞风/瑞风/瑞风/瑞风/瑞风/瑞风/瑞风/瑞风/和悦/和悦/iEV/iEV/iEV,瑞风S7/瑞风A60/瑞风S3/瑞风S2/瑞风S2mini/瑞风S5/瑞风M3/瑞风M3/瑞风M5/瑞风M4/和悦/和悦A30/iEV4/iEV6E/iEV7
42513,上海鑫想汽车销售有限公司,021-66018758,上海市宝山区潘泾路1101号,上海,上海市,瑞风/瑞风/和悦/和悦,瑞风S7/瑞风S3/和悦/和悦A30
42512,上海新香国汽车销售服务有限公司 ,021-67296729 ,上海市金山区山阳镇亭卫公路2088号,上海,上海市,瑞风/瑞风/瑞风/瑞风/瑞风,瑞风A60/瑞风M3/瑞风M3/瑞风M5/瑞风M4
42518,上海锦云汽车销售服务有限公司,021-54352888/021-67893366,上海市松江区沪松公路3778号5幢,上海,上海市,瑞风/瑞风/瑞风/瑞风,瑞风M3/瑞风M3/瑞风M5/瑞风M4
42506,上海沪仑汽车销售服务有限公司,021-66526999,闸北区万荣路1558号,上海,上海市,瑞风/瑞风/瑞风/瑞风/iEV/iEV/iEV,瑞风M3/瑞风M3/瑞风M5/瑞风M4/iEV4/iEV6E/iEV7
42508,上海悦林汽车销售服务有限公司,021-69210555,上海市青浦区青松公路5118号,上海,上海市,瑞风/瑞风/星锐/星锐/星锐,瑞风M3/瑞风M3/星锐/星锐/星锐
42509,上海华星江瑞汽车销售服务有限公司,021-54299500；18017115017,上海市闵行区虹梅南路608号,上海,上海市,瑞风/瑞风/瑞风/瑞风/iEV/iEV/iEV/iEV,瑞风M3/瑞风M3/瑞风M5/瑞风M4/iEV4/iEV6E/iEV7/iEV7S
42510,上海永达通豪汽车销售服务有限公司,021-64656789,上海市浦东新区沪南公路5278号,上海,上海市,瑞风/瑞风/瑞风/瑞风/iEV/iEV/iEV,瑞风M3/瑞风M3/瑞风M5/瑞风M4/iEV4/iEV6E/iEV7
