id,name,telphone,address,city-region,city,province-region,province,place
794,宣威捷昱汽车销售服务有限公司,400-0874-338,云南省宣威市东大街（滇能大酒店对面),530300,曲靖市,530000,云南省,"26.225563,104.111162"
917,曲靖谊和汽车经贸有限公司,0874-3216811,云南省曲靖市麒麟区子午路（中央商务区）,530300,曲靖市,530000,云南省,"25.4736696,103.809381"
887,云南玉溪诚达汽车销售服务有限公司,0877-6102099,玉溪市玉带路17-1号,530400,玉溪市,530000,云南省,"24.364713,102.540222"
1121,昭通市滇东北机动车商贸有限公司,0870-8881655/ 0870-8881822,昭通市昭阳区团结路197号,530600,昭通市,530000,云南省,"27.328726,103.72008"
596,丽江悦鑫汽车销售服务有限公司,0888-3198666,丽江市玉龙县聚鑫路与玉泽西路交叉口(中正苑对面),530700,丽江市,530000,云南省,"26.83938,100.232177"
962,普洱鸿达悦亚汽车销售有限公司,0879-2150922,普洱市思茅区宁洱大道16号,530800,普洱市,530000,云南省,"22.824491,100.967545"
666,楚雄悦途汽车销售服务有限公司,0878-3036888,云南省楚雄市三家塘车管所旁,532300,楚雄彝族自治州,530000,云南省,"25.066166,101.504881"
991,云南红河诚达汽车销售服务有限公司,0873-7238666,云南省开远市兴远路3号,532500,红河哈尼族彝族自治州,530000,云南省,"23.708063,103.287868"
798,云南文山嘉宝汽车销售服务有限公司,0876-2146666,文山市国际汽车城（新中医院前行3公里）,532600,文山壮族苗族自治州,530000,云南省,"23.327176,104.285008"
998,大理嘉源汽车销售服务有限公司,0872-2327369,云南省大理市开发区泛亚汽车城南面,532900,大理白族自治州,530000,云南省,"25.6006435,100.269627"
694,芒市和润达程汽车销售服务有限公司,0692-2908888,云南省德宏州芒市河东路148号,533100,德宏傣族景颇族自治州,530000,云南省,"24.449911,98.609184"
921,西藏万融投资有限公司,0891-6835408,拉萨市鲁堆林卡路（八一路口东50米）,540100,拉萨市,540000,西藏自治区,"29.655935,91.084791"
665,陕西天锐盛航汽车销售服务有限公司,029-89690301/ 029-89690302,陕西省西安市长安区航天东路与工业三路十字东南角 029-89690301,610100,西安市,610000,陕西省,"34.15188,108.99689"
780,陕西长久吉盛汽车销售服务有限公司,029-86183275,西安市浐灞生态区汽车主题公园金桥三路中段,610100,西安市,610000,陕西省,"34.30990753,109.058612"
892,陕西百富通汽车服务有限公司,029-86520009,陕西省西安市经济开发区C5区凤城五路58号,610100,西安市,610000,陕西省,"34.335528,108.940405"
893,陕西恒泰汽车销售服务有限公司,029-62899999,西安市三桥经济技术开发区疏导线58号 中国西部国际车城4S店集群区,610100,西安市,610000,陕西省,"34.204805,108.944822"
1135,陕西瑞侨汽车销售服务有限公司,029-89195888,西安市西高新西部大道107号,610100,西安市,610000,陕西省,"34.1782392,108.863785"
711,铜川市星原汽车销售服务有限公司,0919-3158989,陕西省铜川市新区长丰南路,610200,铜川市,610000,陕西省,"34.906276,108.961242"
1005,宝鸡捷高恒泰贸易有限公司,0917-3613666,宝鸡市陈仓大道49号,610300,宝鸡市,610000,陕西省,"34.347868,107.287736"
643,陕西汇宁汽车贸易有限公司,029-33672000,咸阳市秦都区世纪大道以北黄家寨七组,610400,咸阳市,610000,陕西省,"34.325084,108.767216"
1122,陕西尚乘汽车贸易有限公司,029-33128000,陕西省咸阳市西兰路南上召汽车产业园,610400,咸阳市,610000,陕西省,"34.375737,108.679698"
664,陕西金渭悦泰汽车销售服务有限公司,0913-2121009,渭南市高新区乐天大街西段与新盛路十字向西300米,610500,渭南市,610000,陕西省,"34.524824,109.448655"
1001,渭南宏远恒泰汽车销售服务有限公司,0913-2092369,渭南市华山大街东段丰原路口东100米路南,610500,渭南市,610000,陕西省,"34.498393,109.533553"
622,延安汇章汽车销售服务有限公司,0911-8809688,延安市北郊陵园路合力北郊车城,610600,延安市,610000,陕西省,"36.64373689,109.4533737"
1018,延安汇宁汽车贸易有限责任公司,0911-2860666,陕西省延安市宝塔区南二十里铺柳树巷,610600,延安市,610000,陕西省,"36.519653,109.475092"
1076,汉中市恒远汽车销售有限公司,0916-2619333,陕西省汉中市汉台区石马坡什字北侧,610700,汉中市,610000,陕西省,"33.09958641,107.0261102"
804,榆林市阳光汽车发展有限公司,0912-8187711,陕西省榆林市东沙汽车产业园,610800,榆林市,610000,陕西省,"38.33566,109.863638"
978,榆林金利汽车销售服务有限公司,0912-3599555,榆林市开发区草海则村电厂路,610800,榆林市,610000,陕西省,"37.606236,108.828241"
1031,安康源瑞汽车销售服务有限公司,0915-8193333,陕西省安康市高新技术产业开发区钻石东路2号,610900,安康市,610000,陕西省,"32.722895,108.999616"
712,商洛泽泰盛世汽车销售服务有限公司,0914---2281999,陕西省商洛市商州区杨峪河镇谢塬村,611000,商洛市,610000,陕西省,"33.865925,109.894269"
772,兰州永奇汽车销售服务有限公司,0931-2361192/ 0931-2361193,兰州市七里河区南滨河中路1369号,620100,兰州市,620000,甘肃省,"36.095814,103.693079"
895,甘肃宝通汽车销售服务有限公司,0931-8383666,甘肃省兰州市大沙坪八里湾,620100,兰州市,620000,甘肃省,"36.124583,103.83171"
969,兰州悦丰汽车销售有限公司,0931-2553355,兰州市七里河区南滨河西路181号,620100,兰州市,620000,甘肃省,"36.093473,103.726856"
1153,白银钦盛汽车服务有限责任公司,0943-8281222,甘肃省白银市中科院高新技术产业园,620400,白银市,620000,甘肃省,"36.527727,104.185968"
1123,天水永欣汽车销售服务有限公司,0938-6837999,甘肃省天水市麦积区花牛镇花牛村（天水机场东侧）,620500,天水市,620000,甘肃省,"34.55974,105.876383"
663,武威铭泰汽车销售服务有限公司,0935-2566111,武威市凉州区大马大道城东工业区,620600,武威市,620000,甘肃省,"37.89990045,102.6816084"
714,张掖市天驰凯悦汽车销售服务有限责任公司,0936-5979999,张掖市东北郊工业园区昆仑大道北侧,620700,张掖市,620000,甘肃省,"38.945115,100.48699"
1098,酒泉金岛璐达汽车销售有限公司,0937-2855155,酒泉市西郊工业园区风光大厦向西3公里处,620900,酒泉市,620000,甘肃省,"39.77602906,98.3978085"
1040,庆阳晟驰汽车销售服务有限公司,0934-8888868,甘肃省庆阳市西峰区世纪大道南段,621000,庆阳市,620000,甘肃省,"35.755422,107.638188"
621,陇南协和美达汽车销售有限责任公司,0939-8898777,武都区吉石坝新区长江大道西延伸段协和汽贸城,621200,陇南市,620000,甘肃省,"33.41401008,104.858192"
758,临夏市环球顺腾汽车销售服务有限公司,0930-6289900 / 0930-6299922,甘肃省临夏州临夏市南龙镇马家庄（穆斯林物流园区）,622900,临夏回族自治州,620000,甘肃省,"35.5931054,103.2469827"
614,青海紫丰汽车销售服务有限公司,0971-7790000,青海省西宁市同安路156号,630100,西宁市,630000,青海省,"36.53630756,101.6694753"
961,青农集团青海三江源汽车贸易有限公司,0971-5226888,青海生物科技产业园海湖大道22号,630100,西宁市,630000,青海省,"36.69023706,101.7473082"
