id,name,telphone,address,city-region,city,province-region,province,place
12172,北京四合金元汽车修理厂,010-60734000,北京市昌平区崔村镇西崔村500米,12122,,,,"116.337454,40.220928"
12173,北京世纪君安汽修厂,010-63515617/63585349,北京市丰台区西四环南路北大地总后63号院内,12122,,,,"116.282747,39.863584"
12174,北京时新汽车修理有限公司,010-53221769,北京市大兴区金星西路19号,12122,,,,"116.303193,39.763512"
12175,北京市朝阳金鹰汽车修理部,010-64337056,北京市朝阳区金盏乡长店村,12122,,,,"116.54592,40.012354"
12269,北京京信永达汽车销售有限公司,010-89568370,北京市通顺路徐辛庄十字路口西北角,12122,,,,"116.683934,39.992577"
12292,北京市银兴汽车修理有限责任公司,010-61722091,北京市兴寿镇兴寿村东,12122,,,,"116.421613,40.2288"
12306,北京市太保汽车修理站,010-60524567,北京市通州区梨园地区曹园村京联出租院内,12122,,,,"116.658164,39.858632"
12337,北京京现汽车维修服务有限公司,010-82871650,海淀区知春路甲18号,12122,,,,"116.344925,39.983838"
10528,百联金山区店,,金山区亭枫公路3768号,10528,,,,"121.176796,30.898447"
10529,金现奉城店,,上海市奉贤区奉城镇南奉公路347号 ,10528,,,,"121.176796,30.898447"
11427,上海北现汽车销售服务有限公司,021-54779655/021-54779278,上海市闵行区吴中路472号,10528,,,,"121.412327,31.191634"
11428,上海中创汽车销售有限公司,021-52751507,上海市普陀区云岭西路583号,10528,,,,"121.369249,31.237533"
11429,上海现峰汽车销售服务有限公司,021-56887773,上海市宝山区江杨南路980号,10528,,,,"121.412327,31.191634"
11431,上海金现汽车销售服务有限公司,021-37568680,上海市奉贤区沪杭公路1585号,10528,,,,"121.455254,30.952426"
11432,上海联诚汽车销售有限公司,021-58147617,上海市浦东新区沪南路5191号-5,10528,,,,"121.59583,31.062397"
11433,上海轿辰汽车销售服务有限公司,021-67222999,上海市金山区金山卫镇金山大道4298弄29号,10528,,,,"121.305737,30.73622"
11434,上海恒锐汽车销售服务有限公司,021-51879139,上海市闸北区江场西路872号,10528,,,,"121.441451,31.303941"
11435,上海弘怡汽车销售服务有限公司,021-54136732,上海市闵行区华翔路19号,10528,,,,"121.332372,31.175994"
11436,上海联兴汽车销售有限公司,021-59202268,上海市北青公路9635号1幢,10528,,,,"121.131521,31.19246"
12184,上海峥琛汽车修理有限公司,021-57736110,上海市松江区金玉路100号,10528,,,,"121.233295,30.995155"
12207,上海弘嘉汽车销售服务有限公司, 021-39599111,嘉定区曹安公路4082号,10528,,,,"121.271529,31.28199"
12255,上海鑫现汽车销售服务有限公司,021-57731073,上海市松江区中山街道茸树路58号1幢1层、2层,10528,,,,"121.259961,31.039227"
12281,上海宝通赢汽车销售服务有限公司,021-36555100,宝山区月罗公路2255号,10528,,,,"121.382544,31.423659"
12304,上海惠盈汽车销售服务有限公司,021-57731073,上海市松江区茸树路58号1幢底楼2室,10528,,,,"121.260556,31.039635"
12363,上海嘉现汽车销售有限公司,021-69078198,上海市嘉定区江桥镇金园一路235号2幢2层,10528,,,,"121.325333,31.267103"
11446,天津市捷安汽车销售服务有限公司,022-24661000,天津市河西区大沽南路南头,12305,,,,"117.299994,39.070241"
11447,天津鸿通商贸有限公司,022-27030888,天津市南开区长江道462号,12305,,,,"117.147739,39.137037"
11448,天津瑞芝汽车销售服务有限公司,022-66206896/022-66206897,天津经济技术开发区第五大街55号,12305,,,,"117.721104,39.046743"
11449,天津森龙润通汽车贸易有限公司,022-24365588,天津市东丽区环河北路48号,12305,,,,"117.381744,39.167324"
11450,天津庞大伟通汽车贸易有限公司,022-86907091,北辰区双街镇京津公路东侧双江道南,12305,,,,"117.126422,39.257373"
11453,天津博兴奇智汽车销售服务有限公司,022-27596222,天津西青区中北镇卉康路汽贸大道12店,12305,,,,"117.087032,39.121993"
11454,天津汇青源通汽车销售服务有限公司,022-29150828,天津蓟县中昌南路管城村路东,12305,,,,"117.425328,39.99846"
11455,天津市九州紫耀汽车销售服务有限公司,022-84462810,天津市东丽区雪莲路（天津市公共交通四公司院内）,12305,,,,"117.305361,39.128086"
12305,天津市中乒北晨汽车销售有限公司,022-26727506,天津市北辰区新宜白大道北侧,12305,,,,"117.21358,39.211248"
10521,美源南川店,,南川区南园路24号九都尚品C幢1-1,10521,,,,"107.102417,29.155431"
10522,美源黔江店,,黔江区正阳机动车物流交易中心,10521,,,,"108.812213,29.491033"
10523,美源垫江店,,垫江县桂溪豪庭,10521,,,,"107.36579,30.331299"
10524,御驰秀山店,,重庆市秀山县丹凤路宜景苑1-5号,10521,,,,"109.009966,28.456395"
10525,互邦江津店,,江津区几江街道鼎新商业广场B2-1,10521,,,,"106.263293,29.283044"
10534,互邦丰都店,,丰都县三合镇平都大道东段376号,10521,,,,"107.442067,29.524508"
11437,重庆美源北现汽车发展有限公司,023-61893333,重庆市渝北区红锦大道555号美源国际商务大厦1幢1-1,10521,,,,"106.52571,29.609681"
11438,重庆互邦正信汽车销售服务有限公司,023-62919922/023-62919977,重庆市南岸区学府大道58号附1号,10521,,,,"106.579614,29.501328"
11439,重庆中汽西南当代汽车有限公司,023-89112997,重庆经济技术开发区经开园金渝大道99-7号,10521,,,,"106.578401,29.646091"
11440,重庆市御驰汽车贸易有限公司,023-72881333,涪陵区太极大道70号,10521,,,,"107.387182,29.705313"
11441,重庆奥瑞汽车销售服务发展有限公司,023-87381888/023-87381666,重庆市璧山县璧泉街道华龙村一、二社,10521,,,,"106.23681,29.557597"
11442,重庆沛鑫汽车销售服务有限公司,023-62593777,重庆市巴南区花溪街道红光大道66号,10521,,,,"106.539399,29.463481"
11443,重庆美源永现汽车销售服务有限公司,023-61163333,重庆市永川区玉屏北路361-1-1号,10521,,,,"105.910339,29.366941"
11444,重庆美源万现汽车销售服务有限公司,023-64893333,重庆万州区沙龙路三段车管所后方,10521,,,,"108.405824,30.776587"
11445,重庆通际汽车销售服务有限公司,023-85138169,重庆市合川区工业园区高阳路与南溪路交叉口（F地块）,10521,,,,"106.287393,29.943903"
12188,重庆公路运输（集团）有限公司出租车汽车第一修理厂,023-62852055,重庆市南岸区大石坝涂山路596号,10521,,,,"106.601438,29.578154"
12241,重庆市潼南区鑫盛汽车销售服务有限公司,023-44865888,重庆市潼南区梓潼街道办事处创意大道99号,10521,,,,"105.83742,30.157928"
12321,重庆渝现泓源汽车销售服务有限责任公司,023-68190808,重庆市九龙坡区石新路176号1栋1-1号,10521,,,,"106.463306,29.525845"
12367,重庆商社强力汽车贸易有限公司,023-63867799,重庆市渝中区长江一路78号,10521,,,,"106.535344,29.550475"
11852,潮州市南熙汽车销售服务有限公司,0768-5219333,潮安县浮洋镇西郊村七支头,11852,,,,"116.605114,23.603974"
11825,东莞市永怡汽车贸易有限公司,0769-22904091,东莞市南城区莞太大道白马路段346号  ,12346,,,,"113.720613,22.994853"
11827,东莞市冠丰汽车有限公司,0769-83289728,东莞市寮步国际汽车城,12346,,,,"113.857139,23.020775"
11840,东莞市大朗世达汽车有限公司,0769-81115119,广东省东莞市大朗镇石厦村富民南路79号,12346,,,,"113.985663,22.91209"
11842,东莞市广泰汽车有限公司,0769-85223319,广东省东莞市虎门镇莞太大道白沙路段244号,12346,,,,"113.682073,22.862123"
11853,东莞市东胜汽车销售服务有限公司,0769-82382828,广东省东莞市长安镇锦厦河西工业区德诚路1号,12346,,,,"113.802526,22.78929"
11857,东莞金世达汽车有限公司,0769-82550111,东莞市常平镇金美村常朗路金美路段,12346,,,,"113.972104,22.964293"
11860,东莞新世达汽车有限公司,0769-82168777,东莞市塘厦镇塘厦大道北212号,12346,,,,"114.101097,22.85209"
11861,东莞市永信汽车销售服务有限公司,0769-82680555,茶山镇博头村莞龙路边,12346,,,,"113.888565,23.103113"
12346,东莞市和汇汽车有限公司,0769-88086555,中堂镇广深公路107国道东泊段41号,12346,,,,"113.668508,23.102931"
10511,泰鑫禅城店,,佛山市禅城区国际车城北区4座1楼1-4号,11833,,,,"113.10747,23.012634"
10512,合现容桂店,,佛山市顺德区容桂桂州大道中鹿茵豪园C座首层30-32号铺,11833,,,,"113.287885,22.762408"
11822,佛山市泰鑫汽车销售服务有限公司,13827766532,佛山市佛山大道中57号,11833,,,,"113.111028,23.009565"
11823,佛山市顺德区合现汽车销售服务有限公司,0757-22310668,大良广珠公路新松路段,11833,,,,"113.239451,22.859991"
11833,佛山市南海禅昌汽车服务有限公司,0757-85591111,南海区大沥桂江公路亚洲铝厂南侧,11833,,,,"113.147657,23.085129"
11836,佛山市乐现汽车销售服务有限公司,0757-28105889,广东省佛山市顺德区乐从镇广湛路水藤路段,11833,,,,"113.147657,23.085129"
11862,佛山市俊山汽车销售服务有限公司,18823130299,顺德区陈村镇南涌芸香围105国道18号之19,11833,,,,"113.247932,22.946554"
11863,佛山市南海时利和北现汽车销售服务有限公司,0757-86681810,佛山市南海狮山广云南路（佛山一环狮山立交西侧）,11833,,,,"113.01944,23.133745"
12238,佛山市广物粤现汽车销售服务有限公司,0757-85618291,佛山市南海区里水镇河村村土瓜园（佛山一环东侧水口路出口） 广佛汽车城,11833,,,,"113.178162,23.175755"
10518,宏现东圃店,,广州市天河区黄埔大道东680号,11824,,,,"113.415116,23.112803"
11819,广州南现汽车销售服务有限公司,020-85292500,广东省广州市奥体南路5号,11824,,,,"113.419938,23.139735"
11821,广东羊城汽车销售有限公司,020-36402655,广州市白云区黄石东路591号,11824,,,,"113.287745,23.210488"
11824,广州宏现汽车销售服务有限公司,020-84567999,广州市番禺区番禺大道冼庄立交桥南300米（瑞华汽车城内）,11824,,,,"113.363172,22.987259"
11831,广东中现汽车销售服务有限公司,020-37091800,广州市天河区广汕公路元岗路段广州汽车市场A4,11824,,,,"113.358294,23.187776"
